clip_id,video_id,track_id,start_time,end_time,duration_s,n_frames,zone,strata,near_lake,near_tree,in_group,mean_speed,clip_dir,video_path,label_status,activity_label,apparent_age_group,annotator,notes,split,mean_confidence,mean_bbox_height_px
GX020055_tr0840,GX020055,840,492.625,501.835,9.21,67,lake,"near_lake,near_tree,fast",True,True,False,12.49,clips/GX020055_tr0840,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr0869,GX020055,869,504.371,508.641,4.27,13,lake,"near_lake,near_tree,moving",True,True,False,18.18,clips/GX020055_tr0869,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr0882,GX020055,882,508.908,512.379,3.471,25,tree_3,"near_tree,slow",False,True,False,5.2,clips/GX020055_tr0882,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,biking,adult,,,,,
GX020055_tr0896,GX020055,896,511.177,517.584,6.407,12,lake,"near_lake,moving",True,False,False,19.29,clips/GX020055_tr0896,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr0921,GX020055,921,517.984,522.655,4.671,31,lake,"near_lake,moving",True,False,False,13.72,clips/GX020055_tr0921,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr0990,GX020055,990,541.474,545.478,4.004,25,tree_3,"near_tree,slow",False,True,False,4.63,clips/GX020055_tr0990,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1000,GX020055,1000,542.809,569.769,26.96,193,tree_3,"near_tree,slow",False,True,False,2.87,clips/GX020055_tr1000,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1054,GX020055,1054,572.839,586.453,13.614,66,tree_3,"near_tree,slow",False,True,False,3.96,clips/GX020055_tr1054,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1071,GX020055,1071,588.455,594.461,6.006,33,tree_3,"near_tree,slow",False,True,False,7.47,clips/GX020055_tr1071,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1143,GX020055,1143,632.632,644.911,12.279,85,park,fast,False,False,False,58.92,clips/GX020055_tr1143,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1146,GX020055,1146,635.835,637.971,2.136,12,tree_2,"near_tree,moving",False,True,False,9.64,clips/GX020055_tr1146,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,not_a_person,,,,,,,
GX020055_tr1159,GX020055,1159,648.781,653.052,4.271,9,tree_2,"near_tree,slow",False,True,False,2.51,clips/GX020055_tr1159,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,not_a_person,,,,,,,
GX020055_tr1220,GX020055,1220,697.096,708.308,11.212,44,lake,"near_lake,near_tree,fast",True,True,False,63.06,clips/GX020055_tr1220,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1286,GX020055,1286,761.694,771.971,10.277,13,tree_2,"near_tree,slow",False,True,False,3.4,clips/GX020055_tr1286,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,not_a_person,,,,,,,
GX020055_tr1298,GX020055,1298,775.308,811.878,36.57,250,park,fast,False,False,False,27.41,clips/GX020055_tr1298,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1330,GX020055,1330,780.38,790.523,10.143,67,tree_3,"near_tree,in_group,slow",False,True,True,6.85,clips/GX020055_tr1330,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,biking,adult,,,,,
GX020055_tr1346,GX020055,1346,782.248,787.987,5.739,30,tree_3,"near_tree,in_group,slow",False,True,True,2.78,clips/GX020055_tr1346,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,biking,adult,,,,,
GX020055_tr1378,GX020055,1378,792.925,817.083,24.158,156,park,"in_group,fast",False,False,True,40.89,clips/GX020055_tr1378,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1405,GX020055,1405,806.939,813.88,6.941,48,park,moving,False,False,False,12.41,clips/GX020055_tr1405,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1457,GX020055,1457,826.025,831.497,5.472,34,tree_2,"near_tree,moving",False,True,False,11.08,clips/GX020055_tr1457,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1516,GX020055,1516,851.651,859.392,7.741,38,tree_4,"near_tree,moving",False,True,False,15.36,clips/GX020055_tr1516,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1542,GX020055,1542,854.854,876.075,21.221,139,park,"near_tree,in_group,fast",False,True,True,75.83,clips/GX020055_tr1542,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1611,GX020055,1611,869.802,876.342,6.54,35,park,"near_tree,in_group,fast",False,True,True,19.94,clips/GX020055_tr1611,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr1621,GX020055,1621,872.071,890.89,18.819,139,park,"near_tree,in_group,fast",False,True,True,95.61,clips/GX020055_tr1621,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1650,GX020055,1650,877.41,886.486,9.076,67,park,fast,False,False,False,45.82,clips/GX020055_tr1650,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1671,GX020055,1671,881.681,884.484,2.803,10,park,slow,False,False,False,3.21,clips/GX020055_tr1671,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1675,GX020055,1675,883.015,914.113,31.098,201,park,"near_tree,in_group,fast",False,True,True,35.24,clips/GX020055_tr1675,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1694,GX020055,1694,885.952,910.376,24.424,143,park,"near_tree,in_group,fast",False,True,True,30.57,clips/GX020055_tr1694,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,dog_walking,adult,,,,,
GX020055_tr1730,GX020055,1730,891.023,935.067,44.044,317,park,"near_tree,fast",False,True,False,36.79,clips/GX020055_tr1730,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1749,GX020055,1749,898.231,903.035,4.804,23,park,slow,False,False,False,5.43,clips/GX020055_tr1749,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1811,GX020055,1811,914.247,921.587,7.34,12,park,slow,False,False,False,4.1,clips/GX020055_tr1811,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr1815,GX020055,1815,915.581,920.386,4.805,16,tree_2,"near_tree,moving",False,True,False,11.15,clips/GX020055_tr1815,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,not_a_person,,,,,,,
GX020055_tr1836,GX020055,1836,917.85,931.197,13.347,17,park,slow,False,False,False,2.53,clips/GX020055_tr1836,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,not_a_person,,,,,,,
GX020055_tr1880,GX020055,1880,934.801,940.139,5.338,24,park,fast,False,False,False,12.52,clips/GX020055_tr1880,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,dog_walking,adult,,,,,
GX020055_tr1887,GX020055,1887,938.137,956.422,18.285,127,tree_2,"near_tree,fast",False,True,False,7.97,clips/GX020055_tr1887,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1911,GX020055,1911,943.075,962.028,18.953,112,park,"near_tree,fast",False,True,False,84.17,clips/GX020055_tr1911,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr1927,GX020055,1927,945.745,948.548,2.803,11,park,moving,False,False,False,11.58,clips/GX020055_tr1927,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,dog_walking,adult,,,,,
GX020055_tr1931,GX020055,1931,946.279,953.219,6.94,22,park,moving,False,False,False,8.38,clips/GX020055_tr1931,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,dog_walking,adult,,,,,
GX020055_tr2006,GX020055,2006,963.896,966.566,2.67,15,tree_4,"near_lake,near_tree,moving",True,True,False,10.31,clips/GX020055_tr2006,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,child,,,,,
GX020055_tr2023,GX020055,2023,980.58,985.384,4.804,30,tree_4,"near_tree,moving",False,True,False,17.27,clips/GX020055_tr2023,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,child,,,,,
GX020055_tr2049,GX020055,2049,986.719,989.789,3.07,14,park,slow,False,False,False,5.19,clips/GX020055_tr2049,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr2059,GX020055,2059,988.588,1020.62,32.032,184,park,"near_tree,in_group,fast",False,True,True,31.29,clips/GX020055_tr2059,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2087,GX020055,2087,992.058,994.994,2.936,20,tree_4,"near_tree,moving",False,True,False,12.83,clips/GX020055_tr2087,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2089,GX020055,2089,992.992,998.865,5.873,23,tree_3,"near_tree,slow",False,True,False,1.54,clips/GX020055_tr2089,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr2170,GX020055,2170,1011.544,1020.887,9.343,35,tree_3,"near_tree,in_group,slow",False,True,True,5.07,clips/GX020055_tr2170,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr2195,GX020055,2195,1013.546,1026.359,12.813,72,park,"near_tree,in_group,fast",False,True,True,58.83,clips/GX020055_tr2195,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2221,GX020055,2221,1018.484,1020.887,2.403,11,tree_2,"near_tree,in_group,fast",False,True,True,25.42,clips/GX020055_tr2221,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,child,,,,,
GX020055_tr2288,GX020055,2288,1029.695,1033.699,4.004,22,park,"near_tree,fast",False,True,False,18.48,clips/GX020055_tr2288,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr2294,GX020055,2294,1031.163,1034.901,3.738,10,park,moving,False,False,False,13.39,clips/GX020055_tr2294,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,child,,,,,
GX020055_tr2309,GX020055,2309,1032.632,1042.508,9.876,69,park,"in_group,fast",False,False,True,82.61,clips/GX020055_tr2309,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2311,GX020055,2311,1032.632,1044.911,12.279,83,tree_3,"near_tree,in_group,slow",False,True,True,6.35,clips/GX020055_tr2311,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,biking,adult,,,,,
GX020055_tr2323,GX020055,2323,1033.699,1056.522,22.823,135,park,"near_tree,in_group,fast",False,True,True,61.48,clips/GX020055_tr2323,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2364,GX020055,2364,1038.104,1044.11,6.006,25,tree_3,"near_tree,in_group,slow",False,True,True,5.04,clips/GX020055_tr2364,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr2450,GX020055,2450,1054.654,1057.456,2.802,10,tree_4,"near_tree,moving",False,True,False,14.27,clips/GX020055_tr2450,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr2475,GX020055,2475,1058.524,1063.863,5.339,23,park,moving,False,False,False,23.88,clips/GX020055_tr2475,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr2588,GX020055,2588,1084.951,1088.688,3.737,22,park,"near_tree,fast",False,True,False,59.17,clips/GX020055_tr2588,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2695,GX020055,2695,1118.451,1133.399,14.948,55,park,"near_tree,fast",False,True,False,93.03,clips/GX020055_tr2695,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2697,GX020055,2697,1118.985,1138.604,19.619,114,park,"near_tree,fast",False,True,False,88.5,clips/GX020055_tr2697,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2706,GX020055,2706,1124.724,1128.728,4.004,22,park,"near_tree,fast",False,True,False,93.03,clips/GX020055_tr2706,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr2736,GX020055,2736,1132.865,1137.803,4.938,17,lake,"near_lake,near_tree,fast",True,True,False,50.97,clips/GX020055_tr2736,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr2748,GX020055,2748,1142.475,1152.885,10.41,57,tree_4,"near_lake,near_tree,fast",True,True,False,18.27,clips/GX020055_tr2748,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr2796,GX020055,2796,1153.152,1175.574,22.422,136,park,"near_tree,fast",False,True,False,80.95,clips/GX020055_tr2796,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2812,GX020055,2812,1156.489,1170.903,14.414,106,lake,"near_lake,near_tree,fast",True,True,False,49.86,clips/GX020055_tr2812,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr2878,GX020055,2878,1173.039,1175.307,2.268,14,tree_5,"near_tree,in_group,fast",False,True,True,40.56,clips/GX020055_tr2878,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2911,GX020055,2911,1176.509,1179.045,2.536,17,park,"near_tree,moving",False,True,False,15.23,clips/GX020055_tr2911,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr2959,GX020055,2959,1183.582,1208.674,25.092,164,park,fast,False,False,False,35.18,clips/GX020055_tr2959,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3009,GX020055,3009,1191.323,1194.527,3.204,25,tree_4,"near_tree,moving",False,True,False,10.25,clips/GX020055_tr3009,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3018,GX020055,3018,1197.329,1199.999,2.67,15,park,fast,False,False,False,26.74,clips/GX020055_tr3018,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr3048,GX020055,3048,1211.343,1224.824,13.481,61,park,"near_tree,in_group,fast",False,True,True,58.62,clips/GX020055_tr3048,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3102,GX020055,3102,1215.347,1235.634,20.287,143,park,"near_tree,in_group,fast",False,True,True,71.69,clips/GX020055_tr3102,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3140,GX020055,3140,1217.349,1223.222,5.873,9,tree_3,"near_tree,in_group,moving",False,True,True,12.59,clips/GX020055_tr3140,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,skip,,,,,,,
GX020055_tr3157,GX020055,3157,1218.017,1224.423,6.406,21,tree_3,"near_tree,in_group,fast",False,True,True,55.15,clips/GX020055_tr3157,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,skip,,,,,,,
GX020055_tr3205,GX020055,3205,1220.019,1235.101,15.082,100,park,"near_tree,in_group,fast",False,True,True,81.97,clips/GX020055_tr3205,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3208,GX020055,3208,1220.152,1233.365,13.213,99,park,"near_tree,in_group,fast",False,True,True,90.62,clips/GX020055_tr3208,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3270,GX020055,3270,1223.089,1237.503,14.414,88,park,"near_tree,in_group,fast",False,True,True,88.26,clips/GX020055_tr3270,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3282,GX020055,3282,1223.622,1239.371,15.749,72,park,"near_tree,in_group,fast",False,True,True,84.6,clips/GX020055_tr3282,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3301,GX020055,3301,1224.824,1236.702,11.878,33,park,"in_group,fast",False,False,True,84.72,clips/GX020055_tr3301,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3420,GX020055,3420,1231.363,1236.302,4.939,24,park,"in_group,fast",False,False,True,80.62,clips/GX020055_tr3420,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3568,GX020055,3568,1246.579,1252.184,5.605,16,tree_4,"near_tree,moving",False,True,False,8.18,clips/GX020055_tr3568,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr3584,GX020055,3584,1254.053,1270.603,16.55,101,park,fast,False,False,False,45.97,clips/GX020055_tr3584,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3669,GX020055,3669,1284.483,1299.031,14.548,76,park,fast,False,False,False,10.71,clips/GX020055_tr3669,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3735,GX020055,3735,1291.423,1298.497,7.074,47,park,moving,False,False,False,11.56,clips/GX020055_tr3735,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3750,GX020055,3750,1299.031,1318.651,19.62,117,park,fast,False,False,False,36.14,clips/GX020055_tr3750,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3754,GX020055,3754,1299.431,1301.834,2.403,10,park,moving,False,False,False,16.28,clips/GX020055_tr3754,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3784,GX020055,3784,1310.91,1315.314,4.404,18,tree_4,"near_tree,in_group,moving",False,True,True,17.23,clips/GX020055_tr3784,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3800,GX020055,3800,1314.246,1316.515,2.269,9,tree_4,"near_tree,in_group,moving",False,True,True,17.2,clips/GX020055_tr3800,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr3845,GX020055,3845,1326.659,1356.288,29.629,169,park,"near_tree,fast",False,True,False,70.54,clips/GX020055_tr3845,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr3917,GX020055,3917,1334.934,1356.021,21.087,138,park,"near_tree,fast",False,True,False,78.19,clips/GX020055_tr3917,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,talking_socializing,adult,,,,,
GX020055_tr3923,GX020055,3923,1335.467,1355.354,19.887,150,park,"near_tree,fast",False,True,False,75.89,clips/GX020055_tr3923,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr4113,GX020055,4113,1363.629,1366.031,2.402,10,tree_4,"near_tree,slow",False,True,False,6.85,clips/GX020055_tr4113,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr4129,GX020055,4129,1368.567,1370.569,2.002,15,park,moving,False,False,False,10.28,clips/GX020055_tr4129,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr4176,GX020055,4176,1375.641,1380.312,4.671,33,park,fast,False,False,False,125.46,clips/GX020055_tr4176,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,running,adult,,,,,
GX020055_tr4182,GX020055,4182,1377.109,1379.378,2.269,9,tree_4,"near_tree,moving",False,True,False,9.85,clips/GX020055_tr4182,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,standing,adult,,,,,
GX020055_tr4203,GX020055,4203,1381.247,1385.517,4.27,26,tree_2,"near_tree,moving",False,True,False,13.83,clips/GX020055_tr4203,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,running,adult,,,,,
GX020055_tr4223,GX020055,4223,1383.916,1390.456,6.54,20,tree_2,"near_tree,fast",False,True,False,13.54,clips/GX020055_tr4223,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,not_a_person,,,,,,,
GX020055_tr4245,GX020055,4245,1389.788,1408.874,19.086,135,park,"near_tree,in_group,fast",False,True,True,81.44,clips/GX020055_tr4245,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr4252,GX020055,4252,1390.99,1398.197,7.207,13,park,"in_group,fast",False,False,True,37.01,clips/GX020055_tr4252,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,skip,,,,,,,
GX020055_tr4271,GX020055,4271,1392.057,1419.418,27.361,164,park,"near_tree,in_group,fast",False,True,True,73.25,clips/GX020055_tr4271,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr4374,GX020055,4374,1397.93,1422.621,24.691,169,park,"near_tree,in_group,fast",False,True,True,67.13,clips/GX020055_tr4374,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr4382,GX020055,4382,1398.33,1427.826,29.496,197,park,"near_tree,in_group,fast",False,True,True,61.57,clips/GX020055_tr4382,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
GX020055_tr4455,GX020055,4455,1401.4,1419.018,17.618,113,park,"near_tree,in_group,fast",False,True,True,67.68,clips/GX020055_tr4455,/orange/ufdatastudios/chenz1/depotData/east/GX020055.MP4,valid,walking,adult,,,,,
